,source,target,normalized_projection_density_source_average
153,ILA,DMH,0.0012424512783950038
154,ILA,LHA,0.0019893559609898497
155,ILA,MEA,0.0008831947170702738
156,ILA,MO,0.00024070060698561582
157,ILA,MPO,0.001519918839064107
158,ILA,ORB,0.005218231370232946
159,ILA,OT,0.0016177637315917563
160,ILA,PIR,0.0004115243740259587
161,ILA,PL,0.011943305620208374
162,ILA,PVH,0.0010542319274076067
163,ILA,SCH,0.00021785502276035651
164,ILA,SO,0.001787064498415273
165,ILA,SS,4.2682339804272416e-05
166,ILA,STRd,0.0021392704623570125
167,ILA,VMH,0.00024080222536940874
168,LHA,ACB,0.0015811757159260545
169,LHA,AHN,0.010098652435062824
170,LHA,ARH,0.011410578936486386
171,LHA,CA1,0.00024385301197432045
172,LHA,CA3,0.00027707160635207455
173,LHA,DG,0.0007515346544614554
174,LHA,DMH,0.010389020426316184
175,LHA,ILA,0.0018422437445023347
176,LHA,MEA,0.004813174550508132
177,LHA,MO,0.001894386850172404
178,LHA,MPO,0.010874469292089633
179,LHA,ORB,0.002134153084554464
180,LHA,OT,0.0012166479435657762
181,LHA,PIR,0.0013863421966445943
182,LHA,PL,0.0026154725236768425
183,LHA,PVH,0.008838596314523916
184,LHA,SCH,0.004043692780873551
185,LHA,SO,0.018548423009751843
186,LHA,SS,0.0019144287309109166
187,LHA,STRd,0.0011776588008182937
188,LHA,VMH,0.00783860094696994
189,MEA,ACB,0.0029053013216147577
190,MEA,AHN,0.0040363728673420175
191,MEA,ARH,0.011361198721668485
192,MEA,CA1,0.0002882919916990626
193,MEA,CA3,0.0001073193944187072
194,MEA,DG,0.0002981852440975685
195,MEA,DMH,0.0027102544475489996
196,MEA,ILA,0.0012549982476710137
197,MEA,LHA,0.011487245331875522
198,MEA,MO,0.0009400465333966972
199,MEA,MPO,0.006156378921735277
200,MEA,ORB,0.0011956481057163188
201,MEA,OT,0.003366777653013926
202,MEA,PIR,0.0018191741326735915
203,MEA,PL,0.0013458950492941356
204,MEA,PVH,0.0029995351214768674
205,MEA,SCH,0.0007970890854613279
206,MEA,SO,0.011681694074142308
207,MEA,SS,0.0013811993589347557
208,MEA,STRd,0.0009364363191534615
209,MEA,VMH,0.009834137923408214
210,MO,ACB,0.020223241414904097
211,MO,AHN,0.004479790937941521
212,MO,ARH,0.00441745386648716
213,MO,CA1,0.0003851301672712193
214,MO,CA3,0.000646013448042905
215,MO,DG,0.0026406571054431566
216,MO,DMH,0.0037048223118260662
217,MO,ILA,0.02563575028811208
218,MO,LHA,0.009783331623495905
219,MO,MEA,0.003700251238018632
220,MO,MPO,0.004305863816574894
221,MO,ORB,0.062018752554762836
222,MO,OT,0.006864230694359806
223,MO,PIR,0.004853085787372456
224,MO,PL,0.05910226296829645
225,MO,PVH,0.0031972741228178093
226,MO,SCH,0.003316938607399904
227,MO,SO,0.007870742008388169
228,MO,SS,0.0297693609032167
229,MO,STRd,0.1155693409145818
230,MO,VMH,0.001095852742905202
231,MPO,ACB,0.00018793367256797496
232,MPO,AHN,0.004017374337515415
233,MPO,ARH,0.0026608218325289623
234,MPO,CA1,0.0007389365987857792
235,MPO,CA3,0.0010641526027111788
236,MPO,DG,0.0005508393445290448
237,MPO,DMH,0.0038280223422712386
238,MPO,ILA,0.0004769099633300575
239,MPO,LHA,0.00230136915090788
240,MPO,MEA,0.0005746434114199259
241,MPO,MO,0.00010529182613491242
242,MPO,ORB,0.0003278638675354736
243,MPO,OT,4.516138220867421e-05
244,MPO,PIR,4.106678329227016e-05
245,MPO,PL,0.0004135978972192638
246,MPO,PVH,0.004522077722223335
247,MPO,SCH,0.0020109051940052328
248,MPO,SO,0.0037875044680616954
249,MPO,SS,6.169348900643396e-05
250,MPO,STRd,9.049404325734749e-06
251,MPO,VMH,0.0022488169061725995
252,ORB,ACB,0.018747930236850306
253,ORB,AHN,0.0008535765580176553
254,ORB,ARH,0.0004813339255308817
255,ORB,CA1,2.4385211460751525e-05
256,ORB,CA3,5.447550682442751e-05
257,ORB,DG,0.0002704092418057652
258,ORB,DMH,0.0013703750953775115
259,ORB,ILA,0.05357738044315149
260,ORB,LHA,0.006337073630979279
261,ORB,MEA,0.0039043348093525114
262,ORB,MO,0.007168603208355451
263,ORB,MPO,0.0018031481868763732
264,ORB,OT,0.006334065102251193
265,ORB,PIR,0.0036710928606893474
266,ORB,PL,0.045655373755176615
267,ORB,PVH,0.0008294045304613681
268,ORB,SCH,0.00021717802316172964
269,ORB,SO,0.0038367585071646775
270,ORB,SS,0.0008106551687115264
271,ORB,STRd,0.015568251768551198
272,ORB,VMH,0.00019389672286917447
273,OT,ACB,0.011266104943253932
274,OT,AHN,0.0003592217039110981
275,OT,ARH,0.0022083852293316277
276,OT,CA1,9.503906738061108e-05
277,OT,CA3,4.1593347349060904e-05
278,OT,DG,0.0003940003043917831
279,OT,DMH,0.000699453856143073
280,OT,ILA,0.002322889885959269
281,OT,LHA,0.012083332660932136
282,OT,MEA,0.00395089466588846
283,OT,MO,0.00015377827755949872
284,OT,MPO,0.0011756290916860024
285,OT,ORB,0.0010254035291399172
286,OT,PIR,0.004346241349065578
287,OT,PL,0.00030390490305827743
288,OT,PVH,0.0016483149615437046
289,OT,SCH,0.0023866035853916424
290,OT,SO,0.006047847194940274
291,OT,SS,4.91715683883482e-05
292,OT,STRd,0.0007472933792979241
293,OT,VMH,7.571622524696834e-05
294,PIR,ACB,0.029451367049937654
295,PIR,AHN,0.0010536637092912302
296,PIR,ARH,0.0008039009207451193
297,PIR,CA1,0.002240626429340153
298,PIR,CA3,0.0006120317311840921
299,PIR,DG,0.003989614082962803
300,PIR,DMH,0.0006798862999102786
301,PIR,ILA,0.021491119300251226
302,PIR,LHA,0.006135498529493072
303,PIR,MEA,0.030430213834216062
304,PIR,MO,0.003251323483074609
305,PIR,MPO,0.0015307472279375157
306,PIR,ORB,0.02327386691989633
307,PIR,OT,0.07948441961133759
308,PIR,PL,0.00732093954242243
309,PIR,PVH,0.0005985038065844366
310,PIR,SCH,0.000168203738847225
311,PIR,SO,0.01585472218896886
312,PIR,SS,0.0028642627575006553
313,PIR,STRd,0.005018106092441067
314,PIR,VMH,0.0007873741483954349
315,PL,ACB,0.012797407556311766
316,PL,AHN,0.002237829266908043
317,PL,ARH,0.0004754558028078998
318,PL,CA1,2.257145081984612e-05
319,PL,CA3,2.0773586896187427e-05
320,PL,DG,0.0001289951170374126
321,PL,DMH,0.002281538762954718
322,PL,ILA,0.044711238088789136
323,PL,LHA,0.004098103441729063
324,PL,MEA,0.0015084072037753599
325,PL,MO,0.0020085729424355347
326,PL,MPO,0.0027318065992734315
327,PL,ORB,0.0168450700357239
328,PL,OT,0.0031934472757670887
329,PL,PIR,0.0010086884338934704
330,PL,PVH,0.0018782661938781464
331,PL,SCH,0.0003849368580396611
332,PL,SO,0.003262185740664809
333,PL,SS,0.00031686303550836086
334,PL,STRd,0.007702287856558408
335,PL,VMH,0.00042816799880835224
336,PVH,ACB,0.0001718486127397055
337,PVH,AHN,0.0019509577108282857
338,PVH,ARH,0.0018301256899576192
339,PVH,CA1,7.866029978897092e-05
340,PVH,CA3,1.2997564042504077e-05
341,PVH,DG,4.0244689990436744e-05
342,PVH,DMH,0.0014673318268513163
343,PVH,ILA,0.0003908908016707592
344,PVH,LHA,0.0009286615688995538
345,PVH,MEA,0.0002628684712435083
346,PVH,MO,1.3793577372390163e-05
347,PVH,MPO,0.0013640119630469792
348,PVH,ORB,8.446956366138949e-05
349,PVH,OT,4.7919319276810265e-05
350,PVH,PIR,6.481928846669556e-05
351,PVH,PL,0.00012714457735940815
352,PVH,SCH,0.0007090643292299294
353,PVH,SO,0.0011531648422142661
354,PVH,SS,1.4198223747906247e-05
355,PVH,STRd,2.5972793838515035e-05
356,PVH,VMH,0.0010795768545789333
357,SCH,ACB,1.2991438920249613e-05
358,SCH,AHN,0.000765085417200319
359,SCH,ARH,0.0005361627688353178
360,SCH,CA1,3.1429229087231634e-06
361,SCH,CA3,1.475955616686658e-06
362,SCH,DG,1.6225815947379318e-06
363,SCH,DMH,0.0006810982252628327
364,SCH,ILA,1.2747808434876062e-05
365,SCH,LHA,0.0001675494042743299
366,SCH,MEA,6.023586702740924e-05
367,SCH,MO,1.0591141899730887e-06
368,SCH,MPO,0.00041120890372654584
369,SCH,ORB,1.9367525717010365e-06
370,SCH,OT,5.0778032646294224e-06
371,SCH,PIR,3.3227613997697734e-06
372,SCH,PL,2.6936546786633834e-06
373,SCH,PVH,0.001067641576909421
374,SCH,SO,0.00041915903377744113
375,SCH,SS,1.4853353087545905e-06
376,SCH,STRd,1.7315716863565613e-06
377,SCH,VMH,0.0008330170615176843
378,SO,ACB,9.964661061344718e-06
379,SO,AHN,0.00018714353730492388
380,SO,ARH,0.0017962657417240806
381,SO,CA1,1.5505476833482086e-06
382,SO,CA3,1.4042484828206669e-06
383,SO,DG,4.7031000556594936e-05
384,SO,DMH,0.00010536354649330704
385,SO,ILA,1.0926085154154012e-05
386,SO,LHA,0.000820982922684413
387,SO,MEA,0.00018961551478619687
388,SO,MO,9.51206368036332e-06
389,SO,MPO,0.00014221118538550523
390,SO,ORB,1.5692038853040805e-05
391,SO,OT,2.754433551607048e-05
392,SO,PIR,2.3497928640206076e-05
393,SO,PL,1.3401479044781498e-05
394,SO,PVH,0.00010467793358652853
395,SO,SCH,3.494244659123659e-05
396,SO,SS,1.9910822944482844e-05
397,SO,STRd,1.5332682707895333e-06
398,SO,VMH,0.00019498195353053678
399,SS,ACB,0.009132501856850165
400,SS,AHN,0.0020835955228557935
401,SS,ARH,0.006929697825725397
402,SS,CA1,0.012999901157312812
403,SS,CA3,0.012665322178684017
404,SS,DG,0.005050619292964493
405,SS,DMH,0.0029963871300128543
406,SS,ILA,0.01008951464172492
407,SS,LHA,0.0054464632351730324
408,SS,MEA,0.00808431607087884
409,SS,MO,0.06410462277859133
410,SS,MPO,0.002950121145441613
411,SS,ORB,0.015429753049080685
412,SS,OT,0.00684370643263093
413,SS,PIR,0.00915373909337166
414,SS,PL,0.014380688996980466
415,SS,PVH,0.005286860452045553
416,SS,SCH,0.0045324727118506375
417,SS,SO,0.008735003578368398
418,SS,STRd,0.07739113611811702
419,SS,VMH,0.0015413857472093193
420,STRd,ACB,0.032359600859332247
421,STRd,AHN,0.005831306856471117
422,STRd,ARH,0.0208330659022273
423,STRd,CA1,0.0011305940808378216
424,STRd,CA3,0.0008700747772419679
425,STRd,DG,0.005199657436832037
426,STRd,DMH,0.006736776791376846
427,STRd,ILA,0.03912611971214598
428,STRd,LHA,0.016511287179177603
429,STRd,MEA,0.014166505105521308
430,STRd,MO,0.017895131888394145
431,STRd,MPO,0.009900731299536029
432,STRd,ORB,0.022248313841191227
433,STRd,OT,0.028423927470010425
434,STRd,PIR,0.020561198908715845
435,STRd,PL,0.036882356546360254
436,STRd,PVH,0.017405013770811446
437,STRd,SCH,0.016393207519572878
438,STRd,SO,0.02495115418515526
439,STRd,SS,0.013410526371183075
440,STRd,VMH,0.0032657191567692103
441,VMH,ACB,0.00015133756507322015
442,VMH,AHN,0.007866350970964801
443,VMH,ARH,0.015229842365570782
444,VMH,CA1,2.938536830724159e-05
445,VMH,CA3,2.1610818467992347e-05
446,VMH,DG,4.2374001758206046e-05
447,VMH,DMH,0.009329092352423608
448,VMH,ILA,0.00019796831413582139
449,VMH,LHA,0.0026505629035648284
450,VMH,MEA,0.0010599270695487754
451,VMH,MO,2.1280262172826932e-05
452,VMH,MPO,0.005536201308090714
453,VMH,ORB,8.17716715439359e-05
454,VMH,OT,6.451335269198915e-05
455,VMH,PIR,4.9683428625987376e-05
456,VMH,PL,9.61595540572073e-05
457,VMH,PVH,0.009415437346579493
458,VMH,SCH,0.005446559208432541
459,VMH,SO,0.0052228915162261325
460,VMH,SS,2.3049174849642126e-05
461,VMH,STRd,2.6602258312486486e-05
462,AHN,AHN,0.0
463,ARH,ARH,0.0
464,DMH,DMH,0.0
465,LHA,LHA,0.0
466,PVH,PVH,0.0
467,SCH,SCH,0.0
468,SO,SO,0.0
469,VMH,VMH,0.0
470,STRd,STRd,0.0
471,ACB,ACB,0.0
472,CA1,CA1,0.0
473,CA3,CA3,0.0
474,DG,DG,0.0
475,MO,MO,0.0
476,ILA,ILA,0.0
477,PL,PL,0.0
478,ORB,ORB,0.0
479,PIR,PIR,0.0
480,SS,SS,0.0
481,MEA,MEA,0.0
482,OT,OT,0.0
483,MPO,MPO,0.0
